id,curr_year,promotion_date,status,duration,created_at,updated_at,modified_by_id,student_id
1970,2,,promoted,3,,,,10559
1973,2,,promoted,3,,,,10562
1979,2,,promoted,3,,,,10568
1980,2,,promoted,3,,,,10569
1985,2,,promoted,3,,,,10574
1990,2,,promoted,3,,,,10579
1999,2,,promoted,3,,,,10588
2005,2,,promoted,3,,,,10594
1992,2,,promoted,3,,,,10581
1683,2,,promoted,2,,,,10273
1686,2,,promoted,2,,,,10276
1692,2,,promoted,2,,,,10282
1688,2,,promoted,2,,,,10278
1698,2,,promoted,2,,,,10288
1706,2,,promoted,2,,,,10296
1702,2,,promoted,2,,,,10292
1705,2,,promoted,2,,,,10295
2029,3,,promoted,3,,2024-11-22 05:10:50.261573+00:00,,10618
2060,2,,promoted,2,,2025-03-27 09:13:52.331100+00:00,,10649
2068,2,,promoted,2,,2025-04-08 10:10:24.930204+00:00,,10657
2103,2,,promoted,3,,2025-05-08 04:45:10.354831+00:00,,10693
2100,2,,graduated,2,,2025-04-08 10:10:40.000354+00:00,,10690
2069,2,,promoted,2,,2025-05-08 06:12:39.789445+00:00,,10658
2095,2,,promoted,4,,2025-05-12 07:49:54.484786+00:00,,10685
2094,2,,promoted,4,,2025-05-12 07:49:54.761122+00:00,,10684
2086,2,,promoted,4,,2025-05-12 07:49:59.764852+00:00,,10676
2111,2,,promoted,3,,2025-05-12 07:51:28.874731+00:00,,10701
2110,2,,promoted,3,,2025-05-12 07:52:27.328400+00:00,,10700
2088,2,,promoted,3,,2025-05-12 07:52:30.713853+00:00,,10678
2061,2,,promoted,3,,2025-05-12 07:53:20.580768+00:00,,10650
2112,2,,promoted,2,,2025-05-13 07:11:06.658757+00:00,,10702
2106,2,,promoted,2,,2025-05-13 07:37:56.908491+00:00,,10696
2063,2,,promoted,2,,2025-05-14 05:32:46.381644+00:00,,10652
1615,3,,promoted,4,,2025-05-14 09:20:51.862593+00:00,,10205
2025,3,,promoted,4,,2025-05-15 07:39:03.823679+00:00,,10614
2026,3,,promoted,3,,2025-05-15 10:32:04.215301+00:00,,10615
2081,2,,promoted,2,,2025-05-20 06:41:15.888449+00:00,,10671
2093,2,,promoted,4,,2025-05-20 08:06:29.982454+00:00,,10683
1618,3,,promoted,4,,2025-05-20 09:11:50.206176+00:00,,10208
2059,2,,promoted,2,,2025-05-24 05:58:02.001925+00:00,,10648
2003,3,,promoted,3,,2025-05-26 06:18:21.166514+00:00,,10592
2000,3,,promoted,3,,2025-05-27 07:14:54.207213+00:00,,10589
2015,3,,promoted,3,,2025-05-29 04:30:14.018558+00:00,,10604
2071,2,,promoted,2,,2025-05-29 07:11:32.673136+00:00,,10661
2070,2,,promoted,4,,2025-05-30 04:27:42.641261+00:00,,10659
2058,2,,promoted,3,,2025-06-02 07:10:48.634499+00:00,,10647
1975,3,,promoted,3,,2025-06-04 05:39:59.952249+00:00,,10564
1997,3,,promoted,3,,2025-06-06 09:08:35.736179+00:00,,10586
2065,2,,promoted,4,,2025-06-07 05:59:54.934160+00:00,,10654
1977,3,,promoted,3,,2025-06-14 07:27:10.860283+00:00,,10566
2085,2,,promoted,4,,2025-06-19 05:08:34.178055+00:00,,10675
2087,2,,promoted,2,,2025-07-11 09:17:08.822753+00:00,,10677
2109,2,,promoted,2,,2025-07-25 04:52:36.714610+00:00,,10699
2096,2,,promoted,3,,2025-07-26 12:01:44.665545+00:00,,10686
