id,remarks
22085,PH PAY QR CODE (0880) 14/8/2024
23082,PH PAY QR CODE (6140) 04/12/2024
21592,PH PAY 7/5/24 PROVISIONAL ADMISSION
22627,PH PAY 21/10/24 PROVISIONAL ADMISSION
22343,ID 0228
23428,PH PAY 20K +10K
22539,id 7307
23009,ID 0990
22303,HDFC QR CODE NIAE 31/08/2024
22854,id 8080
23281,PUNEET SIR TOUR ADV
22378,ID 1822
22932,PH PAY QR CODE (6871) 30/11/2024
23394,PH PAY QR CODE 19/12/2024
22791,ID 1126
23531,PH PAY QR CODE (40000+15000+4000) 06/01/2024
22185,AC 6831 1 JUN
23611,PH PAY QR CODE (17000+2000) 27/01/2025 AND 1000 CASH
23497,ID 0095
23121,ID 3933
23560,PH PAY QR CODE 13/01/2025
23356,ID 7351
22971,PH PAY 26500 + CASH 3500
22755,ID 1938
25689,HDFC QR CODE NIAE 6831 05/08/2025
23650,ID 9984
22756,ID 2567
22495,HDFC AC 4709 18/9/24
22120,NEFT BY 08/08/2024 (190000)
22459,ID 6140
23187,ID 2768
20404,"2056, 2295, 2518"
21208,ID 3827
22086,HDFC QR CODE (18000) ACMT 14/08/2024 AND 7000 CASH
21302,PH PAY QR CODE (20000) 04/06/2024 AND 18000 CASH
22304,ACMT HDFC QR 7806
21965,PH PAY QR CODE 06/08/2024 (5188)
22221,HDFC QR CODE AIMT 25/08/2024
22896,ID 2020
23593,ID 7978
23282,ph pay 15/12/24
22825,ID 4719
22933,ID 4611
21472,ID 9558 PROVISIONAL ADMISSION
22792,ID 8582
23561,PH PAY QR CODE (0839) 13/01/2025
23395,ID 5856
23083,ID 5641
23635,PH PAY QR CODE 29/01/2025 (9823)
23463,PH PAY QR CODE 24/12/2024
22186,PH PAY QR 17 AUG
24701,ID 4285
24745,ID 4470
23498,ID 9888
22855,ID 3660
22703,PH PAY ID 7133
25779,ID 8197
23159,ID 0999
23532,ID 7911
23429,PH PAY 40K +5K
22258,ID 7816
20710,2665 OLD REC QR
23188,id 9660
22345,niae qr id 1880
21982,PH PAY QR CODE 07/08/2024
21065,**
22496,PH PAY QR CODE 21/09/2024
22856,ID 2239
22087,ID 8124
23212,id 9028
22057,TRF FROM AGRI R# 1300
22187,ID 9861
22305,NIAE HDFC QR 8350
22121,NEFT BY 08/08/2024 (40000) 10569 ACC PNB
22973,ID 7686
23562,PH PAY QR CODE (29/11/2024) (2832)
22573,ID 5019
24702,ID 4200
20923,# 8668
22629,ID 3107
22222,ID 1449
23283,ID 4975
22757,ID 5868
23430,PH PAY ID 7079
23084,ID 9075
23894,ph pay 14/2/25
23464,PH PAY QR CODE (5430) 24/12/2024
23937,PH PAY (4K+2K) 1/4/25
22934,ID 3491
20903,ph pay id (2802 + 1774) (25k+5k) 10/5/24
22897,PH PAY 3500 + 31500
25690,PH PAY (8K+2K)
22704,QR ID 4064
22758,ID 3587
22122,PH PAY QR CODE 17/08/2024 (1000) AND 25000
22223,AIMT QR 27/8/24
22088,ID 9446
22794,ID 1343
22346,ID 7695
22461,HDFC NIAE 15K + 5K CASH
21725,ID 9703
21528,ID 0367
23046,PH PAY 1/12/24
21386,(20000)
23216,ID 8040
22705,ID1542
22898,ID 4795
23085,ID 1900
22188,"OLD SLIP NO 2355, 2437, 2451"
22601,OLD SLIP R# 1579 TRF BBA TO BBA AVIATION
23431,ID 0261
23594,HDFC ACC 4709 30/11/2024
24703,SWIPE 29500 + 3000 CASH
21125,ID 50066
23359,ID 2131
22541,DD NO. - 809748
23651,ph pa yqr code 01/02/2025
23161,ID 4823
23189,PH PAY 34500 +500
22974,ID 5553
23529,ID 5423
23636,PH PAY QR CODE 29/01/2025
22935,NEFT ON 30/11/2024 (115000) 95000 PNB ACC 9374
21468,PH PAY ID 2408 16/6/24 PROVISIONAL ADMISSION
25691,ID 9670
21783,PH PAY QR CODE (1500) AND 8500 CASH 24/07/2024
23241,ID 8826
22975,PH PAY QR CODE 30/11/2024
22347,PH PAY QR 20/8/24 6K + 31/8/24 4K
23595,ID 9936
23396,PH PAY 10K(25K) 18/12/24 + 25K**
22224,id 5109
23010,10000 PH PAY QR CODE (5986) 02/12/2024 AND 15000 PUNEET SRIVASTAV TOUR ADV
22123,HDFC QR CODE AIMT 17/08/2024
22858,ID 0536
22795,ID 6931
21762,ID 2373 PROVISIONAL ADMISSION
22936,NEFT ON 30/11/2024 (115000) (20000) (9374) PNB ACC
23360,PH PAY QR CODE 18/12/2024 (1928)
22307,HDFC QR 2402 NIAE
23086,ID 0064
22421,ID 4077 NIAE HDFC
23535,PH PAY QR CODE (25000+25000+50000) 07/01/2025
23501,id 9837
23564,ID 1794
23614,PH PA YQR CODE (10000) 5000 27/01/2025
23162,PH PAY QR CODE 09/12/2024
22189,2000* 5 HDFC QR CODE AIMT 22/08/2024
22260,HDCF QR CODE (NIAE) 28/08/2024
24747,ID 4182
23327,ID 5053
21363,ID 5317
22190,ID 7979
22827,ID 6846
23011,PH PAY QR CODE 02/12/2024
22632,jai sir tour adv
20593,R# 9854
22674,ID 9165
20498,"R# 2206, 2275"
22089,PH PAY 8K+2KPROVISIONAL ADMISSION
25740,ID 1790
21536,ID 6238 PROVISIONAL ADMISSION
22422,NIAE HDFC
23596,ID 6428
22463,PH PAY 16/8/24
23565,PH PAY QR CODE 15/01/2025 AND 20000
23286,PH PAY 15/12/24
23191,ID 6948
23087,ID 7617
22499,ID 8133
23328,PH PAY QR CODE 16/12/2024 (1833)
23048,ID 2765
22900,ID 1563
23664,NEFT ON 03/02/2025 (160000) 9374 ACC (20000)
22796,PH PAY QR CODE (3200) 21/11/2024
23466,PH PAY QR CODE 26/12/2024
23125,PH PAY QR CODE 06/12/2024
23536,ID 1514
21316,id 9833
23163,PH PAY QR CODE 09/12/2024
23433,ID 7278
22859,ID 6112
22261,HDFC QR CODE (20000) NIAE 28/08/2024
22976,PH PAY QR CODE 30/11/2024
23242,AC 0822 HDFC NEFT BY PRAMOD SINGH SHAHI 25/6/24
23361,PH PAY 16/12/24 (35K)
22423,ID 4299 NIAE HDFC
24705,ph pay 20/5/25
22828,PH PAY QR CODE 22/11/2024
21054,ID 1085 PROVISIONAL ADMISSION
20276,2727
21034,OLD R# 3022
22152,HDFC QR CODE AIMT (4169) 20/08/2024
22761,ID 2839 PROVISIONAL ADMISSION
22309,ph pay id 6794
22797,PH PAY QR CODE 21/11/2024
22633,"TFR B.COM TO D PHARMA ORL R# 1532, 1556"
22576,ID 0724
23287,ID 4472
22938,ID 6930
22004,IMPS ON 08/08/2024 (HDFC ACC ) 6831 (60000)
22708,ID 5518
23012,ID 3609
23192,PH PAY QR CODE (19000+1000) 12/12/2024
22349,PH PAY 5/9/24
22061,AIMT HDFC QR 10K
23126,PH PAY 10K + 5K CASH
23597,ID 3875
23566,HDFC QR (2000*4 + 1000)
23434,ID 2965
23243,AC 0822 HDFC NEFT BY KANIKA GUPTA 18/7/24
23467,PH PAY QR CODE 26/12/2024 (8162)
23537,ID 3201
22090,PROVISIONAL ADMISSION
22977,PH PAY QR CODE (9632) 02/12/2024
22192,ph pay 22/8/24
22263,ID 1286
22577,ID 0276
22424,ID 3085 NIAE HDFC
21698,ID 9706(9700) + CASH 300 PROVISIONAL ADMISSION
22226,ID 9877
22465,AIMT QR
21621,PH PAY QR CODE (49000) (20000)09/07/2024
22153,HDFC QR CODE (2678) AIMT 20/08/2024
23127,PH PAY QR CODE 06/12/2024
22978,50000 swipe and 45000 PH PAY QR CODE (4345) 02/12/2024
22037,* BANK JOY MANIPUR
22310,HDFC QR CODE NIAE 02/09/2024
22731,SHAILENDR ADV
22544,ID 3024
22350,HDFC 43K 5/9/24 + 2K 4/9/24
23013,IMPS ON 21/11/2024 (9374 ACC PNB)
22709,ID 7220
23538,PH PAY QR CODE (20000) 10000 08/01/2024
22062,AIMT HDFC QR 10K
